Nr;Faza;Co sprawdzasz;Gdzie kliknąć;Jak wykonać (krok po kroku);Co powinno się stać (sukces);Wynik (OK / Błąd / Pominięte);Tester;Data;Uwagi
S-00;Start;Przygotowanie testu;Panel biura (logowanie);1) Zaloguj się do panelu biura. 2) Ustal nazwę testową imprezy np. TEST SMOKE + data. 3) Wybierz gotowy szablon z programem (albo zaplanuj ręczne dodanie 2–3 punktów).;Jesteś zalogowany; wiesz jak nazwiesz imprezę testową;;;;;;
S-01;Zapytanie;Nowa impreza ze szablonu;Szablony imprez → Szablony;1) Wejdź w Szablony. 2) Znajdź szablon. 3) Kliknij Utwórz imprezę. 4) Uzupełnij: zamawiającego (telefon lub e-mail), nazwę TEST…, daty, liczbę osób, miejsce startu. 5) Zapisz.;Impreza powstała; status Zapytanie; otwiera się Podsumowanie z danymi klienta i datami;;;;;;
S-01b;Zapytanie;Alternatywa: impreza pusta;Obsługa imprez → Imprezy → Nowa impreza;1) Imprezy → Nowa impreza. 2) Wypełnij zamawiającego + podstawowe dane. 3) Zapisz. (Użyj gdy nie ma szablonu.);Status Zapytanie; Podsumowanie bez błędu;;;;;;
S-02;Zapytanie;Sprawdzenie karty;Impreza → Podsumowanie;1) Otwórz Podsumowanie. 2) Sprawdź kod imprezy, kontakt, daty, liczbę osób. 3) Uzupełnij braki jeśli trzeba.;Karta czytelna; dane kompletne do oferty;;;;;;
S-03;Oferta;Zmiana statusu na Oferta;Podsumowanie / Ścieżka oferty;1) Kliknij Zmień status (albo przeciągnij kartę na Ścieżce oferty). 2) Ustaw Oferta. 3) Zapisz.;Status Oferta; może pojawić się zadanie typu przygotuj/wyślij ofertę;;;;;;
S-04;Oferta;Program;Impreza → Program;1) Wejdź w Program. 2) Sprawdź punkty (ze szablonu) albo dodaj 2–3 punkty (np. hotel nocleg nocleg atrakcja). 3) Zapisz zmiany.;Punkty widać na liście; brak komunikatu błędu;;;;;;
S-05;Oferta;Kalkulacja (cena oferty);Impreza → Finanse → Kalkulacja;1) Wejdź Finanse → Kalkulacja. 2) Sprawdź czy ceny/marża wyglądają sensownie wobec programu. 3) Po zmianie programu odśwież i porównaj ponownie.;Strona działa; liczby nie są puste / absurdalne. UWAGA: to NIE jest jeszcze rozliczenie kosztów;;;;;;
S-06;Oferta;Oferta Word (opcjonalnie);Impreza → Podsumowanie → Oferta Word;1) Na Podsumowaniu wygeneruj Ofertę Word. 2) Pobierz plik. 3) Otwórz w Wordzie.;Plik się generuje i otwiera; nie rób tego przed przeliczeniem kalkulacji;;;;;;
S-07;Wstępna rezerwacja;Status Wstępna rezerwacja;Zmień status;1) Ustaw status Wstępna rezerwacja.;Status zapisany; może powstać zadanie o potwierdzeniu dostawców;;;;;;
S-08;Wstępna rezerwacja;Rezerwacja dostawcy;Operacje → Rezerwacje;1) Operacje → Rezerwacje. 2) Dodaj rezerwację (np. hotel lub atrakcja): kontrahent daty status wstępna/potwierdzona. 3) Zapisz. 4) Opcjonalnie dodaj załącznik.;Rezerwacja na liście; dane zapisane;;;;;;
S-09;Wstępna rezerwacja;Transport;Operacje → Transport;1) Operacje → Transport. 2) Uzupełnij autokar/firmę/miejsce podstawienia (minimum: coś zapisane). 3) Zapisz.;Transport zapisany bez błędu;;;;;;
S-10;Wstępna rezerwacja;Hotele (jeśli dotyczy);Operacje → Hotele;1) Operacje → Hotele. 2) Sprawdź/uzupełnij plan noclegów.;Plan widoczny; zapis OK;;;;;;
S-11;Potwierdzenie;Status Potwierdzona;Zmień status;1) Ustaw status Potwierdzona.;Status Potwierdzona; pojawia się checklista / zadania (umowy zaliczki pilot portal);;;;;;
S-12;Uczestnicy;Lista uczestników;Uczestnicy → Lista;1) Uczestnicy → Lista. 2) Dodaj min. 2–3 osoby (oznacz kto płatny a kto gratis/opiekun). 3) Zapisz.;Lista kompletna; widać kto jest płatny (to ważne przed umowami);;;;;;
S-13;Umowy;Generowanie umowy;Dokumenty → Umowy → Generuj umowę;1) Dokumenty → Umowy. 2) Generuj umowę. 3) Krok 1: kto zawiera i kto płaci (grupowa / indywidualna). 4) Krok 2: szablon i kwoty. 5) Krok 3: harmonogram wpłat (raty). 6) Krok 4: załączniki (opcjonalnie). 7) Generuj i pokaż link.;Umowa na liście; działa link i/lub PDF; widać harmonogram rat;;;;;;
S-14;Portal klienta;Dostęp i podgląd;Uczestnicy → Portal klienta;1) Uczestnicy → Portal klienta. 2) Nadaj dostęp opiekunowi lub uczestnikowi. 3) Użyj Podglądu (preview).;Dostęp zapisany; podgląd otwiera portal bez błędu;;;;;;
S-15;Portal klienta;Smoke po stronie klienta (opcjonalnie);Portal → Moje wycieczki;1) Wejdź w portal (login lub preview). 2) Otwórz wycieczkę. 3) Sprawdź: Informacje Umowa Płatności (opiekun: Uczestnicy).;Ekrany się otwierają; umowa i raty widoczne;;;;;;
S-16;Wpłaty;Księgowanie wpłaty;Finanse → Wpłaty;1) Impreza → Finanse → Wpłaty. 2) Dodaj wpłatę (zaliczka/rata) dla uczestnika lub grupy. 3) Zapisz. 4) Sprawdź saldo.;Wpis widać; saldo maleje; nie ma podwójnego księgowania;;;;;;
S-17;Wpłaty;Inne drogi wpłat (opcjonalnie);Finanse (menu) → Skrzynka / Import bankowy;1) Opcja A: Skrzynka płatności — link do raty. 2) Opcja B: Import wpłat bankowych → potem Wpłaty do dopasowania. 3) Dopasuj do imprezy.;Wpłata trafia do właściwej imprezy / ledgeru;;;;;;
S-18;Pilot;Przypisanie i udostępnienie;Operacje → Pilot;1) Operacje → Pilot. 2) Przypisz pilota/opiekuna. 3) Kliknij Udostępnij pilotowi (bez tego pilot ma brak dostępu). 4) Ustal zaliczkę gotówkową (plan).;Pilot przypisany; udostępnienie zapisane; zaliczka widoczna;;;;;;
S-19;Pilot;Portal pilota (opcjonalnie);/pilot → Moje wycieczki;1) Zaloguj jako pilot (lub podgląd). 2) Sprawdź czy impreza jest na liście. 3) Otwórz Checklistę / Rozliczenie.;Impreza widoczna; ekrany działają;;;;;;
S-20;Operacje;Zadania i dokumenty;Operacje → Zadania; Dokumenty → Pliki;1) Domknij lub dodaj 1 zadanie. 2) W Dokumenty → Pliki dodaj/sprawdź plik. 3) Opcjonalnie zajrzyj do Kalendarza.;Zadania i pliki działają bez błędu;;;;;;
S-21;Gotówka;Gotówka pilota;Finanse → Gotówka pilota;1) Finanse → Gotówka pilota. 2) Sprawdź/dodaj wpis (zaliczka wydatek wymiana). 3) Porównaj z tym co widać u pilota (jeśli testujesz portal).;Kwoty zapisane; admin i pilot pokazują to samo;;;;;;
S-22;Rozliczenie;Status Do rozliczenia;Zmień status;1) Po „wyjeździe” ustaw status Do rozliczenia.;Status Do rozliczenia; pojawia się zadanie / licznik do rozliczenia;;;;;;
S-23;Rozliczenie;Plan kosztów;Finanse → Koszty;1) Finanse → Koszty. 2) Jeśli trzeba: Utwórz rozliczenie. 3) Dodaj lub edytuj koszt (dostawca kwota płatnik biuro/pilot). 4) Dodaj płatność do dostawcy i/lub dokument kosztu.;Plan kosztów zapisany; suma się przelicza;;;;;;
S-24;Rozliczenie;Domknięcie wpłat;Finanse → Wpłaty;1) Sprawdź czy zaległości są 0 albo uzasadnione. 2) Dopisz brakujące wpłaty / wyjaśnij wyjątek w Uwagach.;Brak niespodziewanych zaległości;;;;;;
S-25;Rozliczenie;Dokumenty rozliczenia i faktury;Finanse → Dok. rozliczenia; Wnioski o fakturę;1) Dodaj dokument rozliczenia (skan/faktura). 2) Jeśli jest wniosek z portalu: Finanse → Wnioski o fakturę — opracuj (zrealizowany/odrzuć).;Dokumenty przy imprezie; wnioski nie wiszą bez decyzji;;;;;;
S-26;Rozliczenie;Kontrola spójności;Finanse (nagłówek / zakładki);1) Porównaj: Kalkulacja vs Koszty (to różne rzeczy!). 2) Sprawdź umowę vs kalkulację. 3) Sprawdź salda wpłat. 4) Sprawdź gotówkę pilota.;Brak oczywistych rozjazdów; wiesz co jest ofertą a co rozliczeniem;;;;;;
S-27;Zamknięcie;Status Rozliczona;Zmień status;1) Ustaw status Rozliczona. 2) Sprawdź że impreza nie wymaga już pracy sprzedażowej.;Status Rozliczona; impreza zamknięta;;;;;;
S-28;Całość;Werdykt smoke;CSV + impreza TEST;1) Policz kroki OK / Błąd / Pominięte. 2) Dołącz zrzuty przy błędach. 3) Zgłoś wynik (pass/fail) z numerami kroków.;Pełna ścieżka przechodzi albo lista błędów jest kompletna;;;;;;
A-01;Anulacja (ścieżka boczna);Anulowanie imprezy (opcjonalnie na osobnej imprezie);Zmień status;1) Na osobnej imprezie testowej ustaw Do anulacji. 2) Sprawdź rezerwacje umowy wpłaty (zwroty). 3) Ustaw Anulowana z powodem.;Impreza anulowana; decyzje finansowe odnotowane;;;;;;
