ID;Priorytet;Sesja;Panel;Rola;Obszar;Sciezka;Kroki;Oczekiwany wynik;Status;Tester;Data;Notatki
P0-01;P0;A — Finanse;admin;admin / ksiegowosc;Finanse imprezy;Impreza → Finanse → Koszty;1) Otwórz imprezę 2) Wejdź w Finanse 3) Sprawdź zakładki nested;Widać: Koszty | Wpłaty | Kalkulacja | Gotówka i waluty | Dok. rozliczenia;Do zrobienia;;;ok
P0-02;P0;A — Finanse;admin;admin / ksiegowosc;Finanse imprezy;Impreza → Finanse → Koszty (plan);1) Dodaj lub edytuj plan kosztu 2) Zapisz;Plan zapisany; suma rozliczenia się przelicza;Do zrobienia;;
P0-03;P0;A — Finanse;admin;admin / ksiegowosc;Finanse imprezy;Impreza → Finanse → Koszty (płatność);1) Dodaj płatność kosztową do pozycji 2) Zapisz;Pojawia się osobna pozycja płatności; kwoty zgodne;Do zrobienia;;
P0-04;P0;A — Finanse;admin;admin / ksiegowosc;Finanse imprezy;Impreza → Finanse → Koszty (dokument);1) Dołącz dokument do pozycji kosztu 2) Podgląd 3) Usuń;Dokument widoczny przy pozycji; usunięcie działa;Do zrobienia;;
P0-05;P0;A — Finanse;admin;admin / ksiegowosc;Finanse imprezy;Impreza → Finanse → Wpłaty (dodaj);1) Otwórz zakładkę Wpłaty 2) Dodaj wpis ledgeru dla uczestnika;Wpis w ledgerze; saldo uczestnika/rozliczenia zaktualizowane;Do zrobienia;;
P0-06;P0;A — Finanse;admin;admin / ksiegowosc;Finanse imprezy;Impreza → Finanse → Wpłaty (usuń);1) Usuń wcześniej dodany wpis ledgeru;Wpis znika; saldo wraca do stanu poprzedniego;Do zrobienia;;
P0-07;P0;A — Finanse;admin;admin / ksiegowosc;Finanse imprezy;Impreza → Finanse → Kalkulacja;1) Otwórz zakładkę Kalkulacja;Strona bez błędu; liczby sensowne względem programu;Do zrobienia;;
P0-08;P0;A — Finanse;admin;admin / ksiegowosc;Finanse imprezy;Impreza → Finanse → Gotówka i waluty;1) Dodaj gotówkę / wymianę walut (jeśli dostępne) 2) Zapisz;Dane zapisane; widoczne też po stronie pilota;Do zrobienia;;
P0-09;P0;A — Finanse;admin;admin / ksiegowosc;Finanse imprezy;Impreza → Finanse → Dok. rozliczenia;1) Dodaj dokument rozliczenia 2) Usuń;CRUD bez błędu;Do zrobienia;;;
P0-10;P0;A — Finanse;admin;admin / ksiegowosc;Redirecty legacy;Stary URL …/settlement/*;1) Wejdź bookmarkiem na stary URL settlement;Redirect na EventFinance (Koszty); nie 404;Do zrobienia;;
P0-11;P0;A — Finanse;admin;admin / ksiegowosc;Redirecty legacy;Stary URL …/settlement/payments;1) Wejdź na settlement/payments;Redirect na Finanse → Wpłaty;Do zrobienia;;;
P0-12;P0;A — Finanse;admin;admin / ksiegowosc;Redirecty legacy;Stary URL …/participants/payments;1) Wejdź na participants/payments;Redirect na Finanse → Wpłaty;Do zrobienia;;;
P0-13;P0;A — Finanse;admin;admin / ksiegowosc;Redirecty legacy;Stary URL …/vendor-invoices;1) Wejdź na vendor-invoices przy imprezie;Redirect na EventFinance;Do zrobienia;;;
P0-14;P0;A — Finanse;admin;admin / ksiegowosc;Redirecty legacy;EventSettlementResource deep-link;1) Wejdź URL-em w edit/costs/payments settlement resource;Redirect do finance imprezy / wpłat (nie stary UI);Do zrobienia;;;
P0-15;P0;A — Finanse;admin;admin / ksiegowosc;Redirecty legacy;Lista EventSettlementResource;1) Wejdź URL-em na listę rozliczeń;Redirect do pulpitu finansowego / finance;Do zrobienia;;;
P0-16;P0;A — Finanse;admin;admin / ksiegowosc;Moduł Finanse;Finanse → Skrzynka płatności;1) Otwórz skrzynkę 2) Oznacz pending lub wygeneruj link raty;Akcja przechodzi; link/status OK;Do zrobienia;;
P0-17;P0;A — Finanse;admin;admin / ksiegowosc;Moduł Finanse;Finanse → Rejestr wpłat;1) Otwórz rejestr 2) Klik deep-link do imprezy;Przechodzi do Finanse → Wpłaty właściwej imprezy;Do zrobienia;;;
P0-18;P0;A — Finanse;admin;admin / ksiegowosc;Moduł Finanse;Finanse → Import wpłat bankowych;1) Wgraj CSV 2) Podgląd 3) Apply;Wpisy trafiają do ledgeru / skrzynki;Do zrobienia;;;
P0-19;P0;A — Finanse;admin;admin / ksiegowosc;Moduł Finanse;Finanse → Stos KSeF / faktury zakupowe;1) Otwórz inbox 2) Otwórz jedną pozycję / import smoke;Lista i akcja bez błędu;Do zrobienia;;;
