miasto;template_id;nazwa;status;max_delta_pln;cena_local_pln;cena_prod_pln;cena_dev_pln;szczegoly
Warszawa;26;Roztocze Lubelskie;price_diff;5;1000;995;995;max Δ 5 zł
Warszawa;31;Agroturystyka Julianówka;ok;;315;315;315;
Warszawa;29;Agroturystyka – dzień na wsi w Dolinie Bobrów;ok;;255;255;255;
Warszawa;25;Toruń;ok;;730;730;730;
Warszawa;30;Agroturystyka dla najmłodszych – Malowana Zagroda (Gościniec Wiecha);ok;;235;235;235;
Warszawa;32;Bałtów – Bałtowski Kompleks Turystyczny;ok;;240;240;240;
Warszawa;33;Białowieża - Białowieski Park Narodowy;ok;;295;295;295;
Warszawa;34;Białystok;ok;;245;245;245;
Warszawa;35;Biebrzański Park Narodowy;ok;;235;235;235;
Warszawa;36;Biskupin, Gniezno;ok;;340;340;340;
Warszawa;38;Biwak Przygody – Alpinistyka;fetch_error;;260;260;;dev: Nie znaleziono wierszy cennika (people_price w sekcji Cennik).
Warszawa;39;Biwak Przygody – Integracja;price_diff;20;255;255;260;max Δ 20 zł
Warszawa;40;Biwak Przygody – Militarne Manewry;price_diff;20;265;265;275;max Δ 20 zł
Warszawa;41;Biwak Przygody – Dziecięce Figle;price_diff;15;235;235;240;max Δ 15 zł
Warszawa;42;Ciechanowiec - Skansen Muzeum Rolnictwa;price_diff;20;200;180;180;max Δ 20 zł
Warszawa;43;Czarnolas, Zwoleń, Sycyna – Śladami Jana Kochanowskiego;ok;;190;190;190;
Warszawa;44;Częstochowa - Jasna Góra;ok;;220;220;220;
Warszawa;45;Dinopark Kołacinek;ok;;235;235;235;
Warszawa;46;Energylandia (dla szkół podstawowych);ok;;405;405;405;
Warszawa;47;Energylandia (dla szkół średnich i studentów);ok;;440;440;440;
Warszawa;48;Farma Iluzji;ok;;235;235;235;
Warszawa;49;Gdańsk i Westerplatte;ok;;335;335;335;
Warszawa;52;Gdańsk i Muzeum II Wojny Światowej;ok;;370;370;370;
Warszawa;53;Gniezno i Ostrów Lednicki;ok;;350;350;350;
Warszawa;55;Góry Świętokrzyskie;ok;;210;210;210;
Warszawa;56;Góry Świętokrzyskie i Osada Średniowieczna;ok;;235;235;235;
Warszawa;57;Góry Świętokrzyskie i Park Legend;ok;;245;245;245;
Warszawa;58;Indiańska Przygoda - Fort Hantajo;ok;;230;230;230;
Warszawa;59;Julinek - Park Rozrywki;price_diff;15;300;300;310;max Δ 15 zł
Warszawa;60;Kazimierz Dolny;ok;;195;195;195;
Warszawa;61;Kazimierz Dolny z meleksami i rejsem statkiem;ok;;280;280;280;
Warszawa;63;Kazimierz Dolny, Puławy;ok;;205;205;205;
Warszawa;64;Kazimierz Dolny, Czarnolas;ok;;235;235;235;
Warszawa;65;Kazimierz Dolny, Wojciechów;ok;;230;230;230;
Warszawa;66;Kopalnia Soli Kłodawa;ok;;260;260;260;
Warszawa;67;Kozłówka, Puławy;ok;;250;250;250;
Warszawa;68;Kraina Świętego Mikołaja - Kołacinek;ok;;280;280;280;
Warszawa;69;Kraków;ok;;340;340;340;
Warszawa;71;Krówki ciągutki i instrumenty folkowe (Milanówek i Grodzisk Mazowiecki);ok;;215;215;215;
Warszawa;72;Las Odkrywców;ok;;200;200;200;
Warszawa;73;Laserowa gra militarna i Escape Room;ok;;225;225;225;
Warszawa;74;Laserowa gra militarna i park trampolin;ok;;240;240;240;
Warszawa;75;Łódź i Muzeum Fabryki;ok;;180;180;180;
Warszawa;76;Łódź i Orientarium;ok;;225;225;225;
Warszawa;77;Łódź i Orientarium z warsztatami;ok;;255;255;255;
Warszawa;78;Łódź z Orientarium i grą laserową;ok;;265;265;265;
Warszawa;79;Łódź – szlakiem łódzkich Żydów;fetch_error;;250;250;;dev: Nie znaleziono wierszy cennika (people_price w sekcji Cennik).
Warszawa;80;Łowicz i Skansen Ziemi Łowickiej;price_diff;20;215;215;225;max Δ 20 zł
Warszawa;81;Łowicz, Arkadia, Nieborów;ok;;250;250;250;
Warszawa;82;Lublin i Muzeum Wsi Lubelskiej;ok;;240;240;240;
Warszawa;84;Magiczne Ogrody;ok;;240;240;240;
Warszawa;85;Mandoria – całoroczny park rozrywki;ok;;305;305;305;
